Symbol,Name,Open,High,Low,Last,Change_per,Volume,Turnover,Date,1D_return_per,3D_return_per,5D_return_per,10D_return_per,1M_return_per,2M_return_per,3M_return_per,6M_return_per,YTD_return_per,52W_Change_Per,1Y High,Liquidity_Tier,52W_Performance,Short_Term_Return,Short_Term_Segment,Long_Term_Return,Long_Term_Segment,Volume_Log,Turnover_Log,Price_Tier,Total_Return_Performance_Trend,cluster,cluster_label
DLMAF.US,DOLLARAMA,135.35,135.35,135.35,135.35,0.66,89000.0,11900000.0,Jun 18,0.66,-0.93,-3.6,6.12,9.33,5.23,-2.72,-6.83,-6.83,-6.83,146.25,Moderate,Neutral,2.316,Moderate Growth,-3.596,Stable,11.39640288460621,16.29204904211537,High-Priced,Mixed Trend,4,Active Mid-Cap Stocks
DLMAY.US,DOLLARAMA ADR,14.44,14.44,14.44,14.44,0.0,334.0,4822.96,Jun 18,0.0,0.0,0.0,-1.06,12.4,17.4,3.14,3.14,3.14,3.14,19.02,Very Less Liquid,Neutral,2.268,Moderate Growth,5.992,Stable,5.814130531825066,8.48135044649868,Mid-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
DLMI.US,DIAMOND LAKE MINERALS,5.05,5.05,5.05,5.05,0.0,100.0,505.0,Jun 18,0.0,0.0,0.0,0.0,1.0,-5.61,-9.01,-9.01,-9.01,-9.01,5.55,Very Less Liquid,Neutral,0.2,Stable,-8.33,Stable,4.61512051684126,6.226536669287466,Mid-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLNDY.US,DL INDUSTRIES ADR,1.46,1.46,1.46,1.46,0.0,222.0,324.12,Jun 18,0.0,0.0,0.0,-1.35,-6.71,-17.51,-9.32,-8.18,-8.18,-8.18,1.91,Very Less Liquid,Neutral,-1.612,Stable,-10.274,Moderate Decline,5.407171771460119,5.784194344950063,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLNG.US,DYNAGAS LNG PARTNERS LP,3.59,3.67,3.5055,3.53,-2.49,56500.0,183000.0,Jun 18,-2.49,-5.11,-7.11,-5.61,-6.86,-11.31,-12.19,-11.53,-6.37,-2.75,4.45,Moderate,Neutral,-5.436,Moderate Decline,-8.83,Stable,10.942013616092948,12.117246896289505,Low-Priced,Strong Negative Trend,4,Active Mid-Cap Stocks
DLNG_A.US,DYNAGAS LNG PARTNERS LP,26.2,26.2,26.05,26.2,0.19,6840.0,61200.0,Jun 18,0.19,0.17,0.0,-0.8,0.17,0.81,-1.93,-0.19,-0.19,3.48,28.77,Very Less Liquid,Neutral,-0.054,Stable,0.396,Stable,8.830689198760998,11.021918808236205,Mid-Priced,Mixed Trend,0,Dormant Small-Cap Stocks
DLO.US,DLOCAL LTD/URUGUAY,12.83,12.925,12.6,12.79,0.39,1820000.0,14300000.0,Jun 18,0.39,1.03,3.65,8.67,11.0,-5.47,11.7,-9.16,-9.55,28.41,16.78,Highly Liquid,Outperformer,4.948,Moderate Growth,3.186,Stable,14.414347608503377,16.475770165160203,Mid-Priced,Moderate Positive Trend,4,Active Mid-Cap Stocks
DLOC.US,DIGITAL LOCATIONS,0.0001,0.0001,0.0001,0.0001,0.0,155000.0,15.5,Jun 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Moderate,Neutral,0.0,Stable,0.0,Stable,11.951186847493476,2.803360380906535,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLPN.US,DOLPHIN ENTERTAINMENT INC,1.1,1.13,1.055,1.1,0.0,28400.0,10800.0,Jun 18,0.0,-3.51,-0.9,-4.35,-1.79,-28.1,-30.82,-24.66,-29.49,-2.65,1.8799,Less Liquid,Neutral,-2.1100000000000003,Moderate Decline,-23.144,Moderate Decline,10.254179634797,9.287394001418471,Low-Priced,Strong Negative Trend,0,Dormant Small-Cap Stocks
DLPRF.US,DLP RESOURCES,0.145,0.145,0.145,0.145,0.0,53600.0,7771.999999999999,Jun 18,0.0,0.0,7.65,10.4,-14.71,-30.95,-34.09,-47.37,-47.37,-47.37,0.2755,Moderate,Underperformer,0.6679999999999999,Stable,-41.43,Strong Decline,10.889323003601277,8.958411469230219,Penny Stock,Moderate Negative Trend,0,Dormant Small-Cap Stocks
DLPTF.US,LIAONING PORT,0.11,0.11,0.11,0.11,0.0,1000.0,110.0,Jun 18,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.15,Very Less Liquid,Neutral,2.0,Stable,0.0,Stable,6.90875477931522,4.709530201312334,Penny Stock,Strong Negative Trend,0,Dormant Small-Cap Stocks
